x (m),y (m),u_x (m),u_y (m),u_magnitude (m),von_mises (GPa),stress_xx (GPa),stress_yy (GPa),stress_xy (GPa)
8.5,0.5,9.104657853902895,-88.19337310044007,88.66208802791677,113.09959717512315,112.54291262107802,-1.0064742096401278,-1.4873632633760219
8.25,0.5,8.93875176465577,-83.67743028353587,84.15351223785103,123.93768250430364,122.79190992080996,-1.9057014989749732,0.3026674738429792
8.0,0.5,8.755683662596372,-79.24383912920457,79.72608128043615,127.57224651949248,125.92856675386895,-2.3526011461002976,-3.5744962834708423
7.75,0.5,8.577977478240976,-74.90161633164404,75.39120523449678,126.09409069994447,125.48755128704367,-1.0347106882272517,-1.4757178900807382
7.5,0.5,8.393695504646146,-70.64838269510665,71.14526057060274,126.91878708342195,126.31036180239532,-1.0340726688957207,-2.0393863301663915
7.25,0.5,8.208890288148437,-66.49247453882583,66.99727643762289,138.79841754797886,137.18189098678644,-2.744377206189942,0.44683869807917753
7.0,0.5,8.005130629822839,-62.42881313821856,62.93996207694392,141.13491711126687,139.45928591080158,-2.6093283555471913,-3.383550580621111
6.75,0.5,7.809806695320924,-58.46663519955686,58.9859348673592,145.24358500833358,143.6916699116909,-2.690337935227081,0.35315869101669406
6.5,0.5,7.59625746143788,-54.605225612962464,55.13106013548972,148.7821417184459,146.95637874551778,-2.8201591381438704,-3.923481478357832
6.25,0.5,7.390066175727245,-50.84966463478343,51.383863921970416,153.57013787743657,152.04821806233267,-2.611522963606422,-0.0842890418059557
6.0,0.5,7.163020806686081,-47.200684152199905,47.74110861210443,159.02713826269397,156.9037940252334,-3.0841521193415526,-4.587683316475912
5.75,0.5,6.9418216768373435,-43.66429998470387,44.21266765698739,157.02039451731915,156.19390872627648,-1.4445787732226127,-1.6199522099321884
5.5,0.5,6.712519164250348,-40.239138419481144,40.79517341883218,159.28208175122515,158.6733405665206,-1.0624965027868591,-1.8621363435457825
5.25,0.5,6.478122131649561,-36.93267448024689,37.4965133127928,164.47917585978692,163.49530774986493,-1.7679234057144906,-1.466418069104846
5.0,0.5,6.2396856206114455,-33.74474626402223,34.31678273188364,175.8715826074531,174.5489733657093,-2.144434435930079,1.1450691928896537
4.75,0.5,5.979335407168107,-30.677984304983188,31.255258324451727,181.49976523652734,179.19990801272434,-3.3303423298629693,-4.942242616842269
4.5,0.5,5.727040045440914,-27.740176340778138,28.32518969220773,178.94040380369768,178.05003892257076,-1.540348662437436,-1.856060708147056
4.25,0.5,5.465280287631224,-24.929787814745538,25.521826131971935,181.3790876279446,180.94113877119892,-0.6935930968374887,-2.5860165149302317
